Company,"PNP ID","Approved On Date"
"Logos Design A/S",SGO,2001-04-24
"Long Engineering Design Inc",LED,1996-11-29
"Longshine Electronics Company",LCS,1996-11-29
"Loughborough Sound Images",LSI,1996-11-29
"LSI Japan Company Ltd",LSJ,1996-11-29
"LSI Systems Inc",LSY,1996-11-29
"LTS Scale LLC",LTS,2007-11-15
Lubosoft,LBO,2001-04-24
"Lucent Technologies",LUC,2000-04-19
"Lucent Technologies",LMG,1997-01-13
"Lucidity Technology Company Ltd",LTK,1998-05-18
"Lumagen, Inc.",LUM,2004-08-12
"Lung Hwa Electronics Company Ltd",LHE,1998-06-12
Luxeon,LXN,2001-03-15
"Luxxell Research Inc",LUX,1997-06-09
"LVI Low Vision International AB",LVI,2011-01-21
"LXCO Technologies AG",LXC,2012-01-11
"MAC System Company Ltd",MAC,1997-09-26
"Mac-Eight Co., LTD.",MEJ,2011-01-19
"Macraigor Systems Inc",OCD,1998-03-23
"Macrocad Development Inc.",VHI,2000-04-19
"Macronix Inc",MXI,1996-11-29
"Madge Networks",MDG,1996-11-29
"Maestro Pty Ltd",MAE,1996-12-04
"MAG InnoVision",MAG,1996-11-29
"Magic Leap",MLP,2014-11-14
"Magni Systems Inc",MCP,1996-11-29
"MagTek Inc.",EKA,2006-02-14
"Magus Data Tech",MDT,1996-11-29
"Mainpine Limited",MPN,2007-06-30
"Mainpine Limited",MUK,1999-09-13
"Many CNC System Co., Ltd.",PAK,2004-03-12
"Maple Research Inst. Company Ltd",MPL,1996-11-29
"MARANTZ JAPAN, INC.",MJI,2000-10-23
"Marconi Instruments Ltd",MIL,1996-11-29
"Marconi Simulation & Ty-Coch Way Training",MRC,1996-11-29
"Marina Communicaitons",MCR,1996-11-29
"Mark Levinson",MLN,2005-02-28
"Mark of the Unicorn Inc",MTU,1997-03-21
"Marseille, Inc.",MNI,2013-02-27
"Marshall Electronics",MBM,2006-03-13
"Mars-Tech Corporation",MTC,1996-11-29
"Maruko & Company Ltd",MRK,1996-11-29
"MASPRO DENKOH Corp.",MSR,2012-10-25
"Mass Inc.",MAS,2002-02-25
"Matelect Ltd.",MEQ,2002-05-30
Matrox,MTX,1996-11-29
"Mat's Computers",MCQ,2004-07-22
"Matsushita Communication Industrial Co., Ltd.",WPA,2001-03-15
"Panasonic Connect Co.,Ltd.",MAT,2022-04-01
"MaxCom Technical Inc",MTI,1996-11-29
"MaxData Computer AG",VOB,2000-02-21
"MaxData Computer GmbH & Co.KG",MXD,2000-04-19
"Maxpeed Corporation",MXP,1997-02-19
"Maxtech Corporation",MXT,1996-11-29
"MaxVision Corporation",MXV,1999-07-16
"Maygay Machines, Ltd",DJP,2000-08-10
"Maynard Electronics",MAY,1996-11-29
"MAZeT GmbH",MAZ,1998-08-11
MBC,MBC,1996-11-29
"McDATA Corporation",MCD,1996-11-29
"McIntosh Laboratory Inc.",MLI,2008-01-18
"MCM Industrial Technology GmbH",MIT,2004-10-29
"MEC Electronics GmbH",CEM,2000-04-19
"Medar Inc",MDR,1996-12-11
"Media Technologies Ltd.",MTB,2009-01-05
"Media Tek Inc.",MKC,2007-06-14
"Media Vision Inc",MVI,1996-11-29
"Media4 Inc",MDA,1997-03-20
"Mediacom Technologies Pte Ltd",OWL,1996-11-29
"Mediaedge Corporation",MEK,2013-11-19
"MediaFire Corp.",MFR,1998-12-28
Mediasonic,FTR,1996-11-29
"MediaTec GmbH",MTE,1996-12-13
"Mediatek Corporation",MDK,1997-03-13
"Mediatrix Peripherals Inc",MPI,1997-04-24
"Medikro Oy",MRO,1997-09-19
"Mega System Technologies Inc",MEC,1997-12-29
"Mega System Technologies, Inc.",MGA,1998-12-28
"Megasoft Inc",MSK,1996-11-29
"Megatech R & D Company",MGT,1996-11-29
"Meld Technology",MEP,2012-08-16
"MEN Mikroelectronik Nueruberg GmbH",MEN,1997-05-23
"Mentor Graphics Corporation",MGC,2009-07-30
MEPCO,RLD,2001-03-15
MEPhI,PPD,1998-11-27
"Merging Technologies",MRT,1996-11-29
"Meridian Audio Ltd",MAL,2009-02-04
"Messeltronik Dresden GmbH",MED,1996-11-29
"MET Development Inc",MDV,1996-11-29
"Meta Watch Ltd",MTA,2013-08-29
"Metheus Corporation",MET,1996-11-29
"Metricom Inc",MCM,1996-11-29
"Metronics Inc",QCH,1996-11-29
"Mettler Toledo",NET,1996-11-29
"Metz-Werke GmbH & Co KG",MCE,2005-06-30
"M-G Technology Ltd",MGL,1997-10-29
"Micom Communications Inc",MIC,1997-05-05
"Micomsoft Co., Ltd.",MSX,2008-04-10
"Micro Computer Systems",MCS,1996-11-29
"Micro Design Inc",MDI,1998-01-20
"Micro Display Systems Inc",MDS,1996-11-29
"Micro Firmware",MFI,1997-12-30
"Micro Industries",MCC,2003-04-21
"Micro Solutions, Inc.",BPD,2000-04-19
"Micro Systemation AB",MSA,1999-11-08
"Micro Technical Company Ltd",JMT,1996-11-29
"Microbus PLC",MBD,2002-08-13
Microcom,MNP,1996-11-29
"MicroDatec GmbH",MDX,1999-09-13
"MicroDisplay Corporation",MRD,2007-06-14
"Microdyne Inc",MDY,1996-12-18
"MicroField Graphics Inc",MFG,1996-11-29
Microlab,MPJ,1997-05-23
Microline,LAF,1999-09-13
"Micrologica AG",MLG,1998-10-06
"Micromed Biotecnologia Ltd",MMD,1996-12-11
"Micromedia AG",MMA,1997-04-24
"Micron Electronics Inc",MCN,1997-02-20
"Micronics Computers",MCI,1996-11-29
micronpc.com,MIP,2000-08-10
"Micronyx Inc",MYX,1996-11-29
"Micropix Technologies, Ltd.",MPX,2001-10-08
"MicroSlate Inc.",MSL,1999-05-16
Microsoft,PNP,2004-03-05
Microsoft,MSH,1996-11-29
Microsoft,PNG,1996-11-29
MicroSoftWare,WBN,1998-01-14
Microstep,MSI,1996-11-29
Microtec,MCT,1996-11-29
"Micro-Tech Hearing Instruments",MTH,1997-12-15
"MICROTEK Inc.",MKT,2005-07-14
"Microtek International Inc.",MTK,2002-02-25
"MicroTouch Systems Inc",MSY,2000-08-10
Microvision,MVS,2009-02-13
"Microvitec PLC",MVD,1996-11-29
"Microway Inc",MWY,1996-11-29
"Midori Electronics",MDC,1996-11-29
"Mikroforum Ring 3",SFT,2004-11-02
"Milestone EPE",MLS,1998-08-11
"Millennium Engineering Inc",MLM,1996-11-29
"Millogic Ltd.",MLL,2014-01-09
"Millson Custom Solutions Inc.",MCX,2013-10-17
"Miltope Corporation",VTM,2009-09-23
"Mimio – A Newell Rubbermaid Company",MIM,2012-07-31
"MindTech Display Co. Ltd",MTD,2007-06-14
"MindTribe Product Engineering, Inc.",FTW,2011-02-14
"Mini Micro Methods Ltd",MNC,1996-11-29
"Minicom Digital Signage",MIN,2010-08-13
"MiniMan Inc",MMN,1996-11-29
"Minnesota Mining and Manufacturing",MMF,2001-03-15
"Miranda Technologies Inc",MRA,1996-11-29
Miratel,MRL,1998-10-16
"Miro Computer Prod.",MIR,1996-11-29
"miro Displays",MID,1999-03-20
"Mistral Solutions [P] Ltd.",MSP,1998-09-23
"Mitec Inc",MII,1996-11-29
"Mitel Corporation",MTL,1997-08-01
"Mitron computer Inc",MTR,1996-11-29
"Mitsubishi Electric Corporation",MEL,1996-11-29
"Mitsubishi Electric Engineering Co., Ltd.",MEE,2005-10-03
"Mitsumi Company Ltd",KMC,1996-11-29
"MJS Designs",MJS,1996-11-29
"MK Seiko Co., Ltd.",MKS,2013-06-18
"M-Labs Limited",OHW,2013-11-27
"MMS Electronics",MMS,1998-02-24
"Modesto PC Inc",FST,1997-02-27
MODIS,MDD,1999-11-08
"Modular Industrial Solutions Inc",MIS,1996-11-29
"Modular Technology",MOD,1997-06-09
"Momentum Data Systems",MOM,2008-01-18
"Monorail Inc",MNL,1997-02-18
Monydata,MYA,1996-11-29
"Moreton Bay",MBV,2000-01-13
"Moses Corporation",MOS,1996-11-29
"Mosgi Corporation",MSV,1996-11-29
"Motion Computing Inc.",MCO,2002-05-30
Motium,MTM,2012-06-19
motorola,MSU,2001-03-15
"Motorola Communications Israel",MCL,2002-07-02
"Motorola Computer Group",MCG,1997-08-14
"Motorola UDS",MOT,1996-11-29
"Mouse Systems Corporation",MSC,1996-11-29
"M-Pact Inc",MPC,1996-11-29
"mps Software GmbH",MPS,1996-11-29
"MS Telematica",MST,1997-04-28
"MSC Vertriebs GmbH",MEX,2012-06-04
"MSI GmbH",MSG,1999-09-13
"M-Systems Flash Disk Pioneers",MSF,1997-12-17
"Mtron Storage Technology Co., Ltd.",MTN,2008-06-17
"Multi-Dimension Institute",MUD,2000-10-23
Multimax,MMI,1996-11-29
"Multi-Tech Systems",MTS,1996-11-29
"Multiwave Innovation Pte Ltd",MWI,1996-11-29
"Mutoh America Inc",MAI,1999-09-13
mware,MWR,2001-04-24
"Mylex Corporation",MLX,1996-11-29
"Myriad Solutions Ltd",MYR,1996-11-29
"Myse Technology",WYS,1996-11-29
"N*Able Technologies Inc",NBL,1998-04-28
"NAD Electronics",NAD,2007-06-14
"Naitoh Densei CO., LTD.",NDK,2006-04-12
"Najing CEC Panda FPD Technology CO. ltd",NCP,2015-02-24
"Nakano Engineering Co.,Ltd.",NAK,2009-07-22
"Nakayo Relecommunications, Inc.",NYC,2000-08-10
"Nanomach Anstalt",SCS,1996-11-29
"Nasa Ames Research Center",ADR,1996-11-29
"National DataComm Corporaiton",NDC,1996-11-29
"National Display Systems",NDI,2003-08-08
"National Instruments Corporation",NIC,1996-11-29
"National Key Lab. on ISN",NBS,1998-07-16
"National Semiconductor Corporation",NSC,1996-11-29
"National Semiconductor Japan Ltd",TTB,1997-04-14
"National Transcomm. Ltd",NTL,1996-11-29
"Nationz Technologies Inc.",ZIC,2009-03-12
"Natural Micro System",NMS,1996-11-29
"NaturalPoint Inc.",NAT,2010-09-03
"Navatek Engineering Corporation",NVT,1998-03-02
"Navico, Inc.",NME,2012-11-28
"Navigation Corporation",NAV,1999-02-22
"Naxos Tecnologia",NAX,1997-12-12
"NCR Corporation",DUN,2002-04-25
"NCR Corporation",NCC,1996-11-29
"NCR Electronics",NCR,1996-11-29
"NDF Special Light Products B.V.",NDF,2014-09-18
"NDS Ltd",DMV,1997-06-25
"NEC Corporation",NEC,2000-05-24
"NEC CustomTechnica, Ltd.",NCT,2002-10-23
"NEC-Mitsubishi Electric Visual Systems Corporation",NMV,2002-02-25
"NEO TELECOM CO.,LTD.",NEO,1999-11-08
Neomagic,NMX,1996-11-29
"NeoTech S.R.L",NTC,1997-11-11
"Netaccess Inc",NTX,1997-02-07
"NetComm Ltd",NCL,1996-11-29
"NetVision Corporation",NVC,1996-11-29
"Network Alchemy",NAL,1997-09-30
"Network Designers",NDL,1996-11-29
"Network General",NGC,1997-08-26
"Network Info Technology",NIT,1996-11-29
"Network Peripherals Inc",NPI,1996-11-29
"Network Security Technology Co",NST,1999-02-22
"Networth Inc",NTW,1996-11-29
"NeuroSky, Inc.",NSA,2013-08-28
"NEUROTEC - EMPRESA DE PESQUISA E DESENVOLVIMENTO EM BIOMEDICINA",NEU,2001-03-15
"New Tech Int'l Company",NTI,1996-11-29
"NewCom Inc",NCI,1997-01-09
"Newisys, Inc.",NWS,2002-10-08
"Newport Systems Solutions",NSS,1996-11-29
Nexgen,NXG,1996-11-29
"Nexgen Mediatech Inc.,",NEX,2003-11-11
"Nexiq Technologies, Inc.",NXQ,2001-10-08
"Next Level Communications",NLC,1996-11-29
"NextCom K.K.",NXC,1996-11-29
"NingBo Bestwinning Technology CO., Ltd",NBT,2006-09-05
"NINGBO BOIGLE DIGITAL TECHNOLOGY CO.,LTD",BOI,2009-11-25
"Nippon Avionics Co.,Ltd",AVI,2000-10-23
"NIPPONDENCHI CO,.LTD",GSB,2000-05-24
"NISSEI ELECTRIC CO.,LTD",NSI,2000-01-13
"Nissei Electric Company",NIS,1996-11-29
"Nits Technology Inc.",NTS,2006-12-19
"Nixdorf Company",NCA,1996-11-29
NNC,NNC,1996-11-29
"Nokia Data",NDS,1996-11-29
"Nokia Display Products",NOK,1996-11-29
"Nokia Mobile Phones",NMP,1996-11-29
"Norand Corporation",NOR,1997-03-19
"Norcent Technology, Inc.",NCE,2007-06-20
"NordicEye AB",NOE,2009-09-23
"North Invent A/S",NOI,2010-05-04
"Northgate Computer Systems",NCS,1996-11-29
"Not Limited Inc",NOT,1998-01-30
"NovaWeb Technologies Inc",NWP,1998-06-12
"Novell Inc",NVL,1996-11-29
"Nspire System Inc.",NSP,2007-02-13
"N-trig Innovative Technologies, Inc.",NTR,2005-10-03
"NTT Advanced Technology Corporation",NTT,2004-08-19
"NU Inc.",NUI,2007-08-29
"NU Technology, Inc.",NUG,2004-04-16
"Number Five Software",NFS,1999-02-22
"Nutech Marketing PTL",KNX,1996-11-29
"NuVision US, Inc.",NVI,2006-09-05
"Nuvoton Technology Corporation",NTN,2008-10-09
Nvidia,NVD,1996-11-29
N-Vision,JEN,2000-10-23
"NXP Semiconductors bv.",NXP,2007-06-14
"NW Computer Engineering",NWC,1997-02-03
"Oak Tech Inc",OAK,1996-11-29
"Oasys Technology Company",OAS,1996-11-29
"OBJIX Multimedia Corporation",OMC,1996-11-29
"OCTAL S.A.",PCB,1998-02-24
"Oculus VR, Inc.",OVR,2012-10-19
Odrac,ODR,2001-06-21
"Office Depot, Inc.",ATV,2007-06-13
"OKI Electric Industrial Company Ltd",OKI,1996-11-29
"Oksori Company Ltd",OQI,1996-11-29
"Oksori Company Ltd",OSR,1996-11-29
Olfan,OCN,1996-11-29
"Olicom A/S",OLC,1996-11-29
"Olidata S.p.A.",OLD,2006-03-13
"Olitec S.A.",OLT,1996-11-29
"Olitec S.A.",OLV,1996-11-29
Olivetti,OLI,1996-11-29
"OLYMPUS CORPORATION",OLY,2005-05-02
OmniTek,OTK,2013-09-19
Omnitel,OMN,1998-04-28
"Omron Corporation",OMR,1996-11-29
"On Systems Inc",ONS,1996-11-29
"Oneac Corporation",ONE,1998-04-14
"ONKYO Corporation",ONK,2005-06-16
"OnLive, Inc",ONL,2010-09-03
"OOO Technoinvest",TIV,1997-08-05
"Opcode Inc",OPC,1996-11-29
"Open Connect Solutions",OCS,1999-09-13
"OPEN Networks Ltd",ONW,2003-04-25
"Open Stack, Inc.",OSI,2013-07-22
"OPPO Digital, Inc.",OPP,2012-06-19
"OPTi Inc",OPT,1996-11-29
"Optibase Technologies",OBS,2010-11-01
"Optical Systems Design Pty Ltd",OSD,2013-06-03
"Option Industrial Computers",OIC,2001-05-07
"Option International",OIN,2000-10-23
"Option International",OIM,1997-01-30
"OPTI-UPS Corporation",OSP,1997-07-01
"Optivision Inc",OPV,1996-11-29
"OPTO22, Inc.",OTT,1998-10-06
"Optoma Corporation          ",OTM,2010-04-20
"Optum Engineering Inc.",OEI,2010-08-02
"Orchid Technology",OTI,1996-11-29
"ORGA Kartensysteme GmbH",ORG,1998-10-24
"Orion Communications Co., Ltd.",TOP,2007-04-30
"ORION ELECTRIC CO., LTD.",ORN,2005-01-19
"ORION ELECTRIC CO.,LTD",OEC,2000-01-13
"OSAKA Micro Computer, Inc.",OSA,2003-09-05
"OSR Open Systems Resources, Inc.",ORI,1999-01-20
OSRAM,OOS,2002-04-25
"OUK Company Ltd",OUK,1996-11-29
outsidetheboxstuff.com,OTB,2010-09-03
"Oxus Research S.A.",OXU,1996-11-29
"OZ Corporation",OZC,2012-08-07
"Pacific Avionics Corporation",PAC,1996-11-29
"Pacific CommWare Inc",PCW,1996-11-29
"Pacific Image Electronics Company Ltd",PIE,1997-10-21
"Packard Bell Electronics",PBL,1996-11-29
"Packard Bell NEC",PBN,1996-11-29
"PACSGEAR, Inc.",PGI,2012-08-13
"Padix Co., Inc.",QFF,1999-09-13
"Pan Jit International Inc.",PJT,2004-08-03
Panasonic,MDO,1996-11-29
"Panasonic Avionics Corporation",PLF,2010-08-13
"Panasonic Industry Company",MEI,1996-11-29
"Panelview, Inc.",PNL,2003-08-04
"Pantel Inc",PTL,1996-11-29
"PAR Tech Inc.",PTA,2011-01-26
"Parade Technologies, Ltd.",PRT,2012-04-06
"Paradigm Advanced Research Centre",PGM,2005-06-16
"Parallan Comp Inc",PAR,1996-11-29
"Parallax Graphics",PLX,1996-11-29
"Parc d'Activite des Bellevues",RCE,1996-11-29
Parrot,POT,2014-11-25
"Pathlight Technology Inc",PTH,1996-11-29
"PC Xperten",PCX,1998-02-24
PCBANK21,PCK,2007-02-13
"PCM Systems Corporation",PCM,1997-03-25
"PC-Tel Inc",PCT,1997-05-02
"PD Systems International Ltd",PDS,1999-03-20
"PDTS - Prozessdatentechnik und Systeme",PDT,1998-02-10
"Pegatron Corporation",PEG,2013-08-27
"PEI Electronics Inc",PEI,1998-04-06
"Penta Studiotechnik GmbH",PVM,2010-05-05
"pentel.co.,ltd",PCL,2002-02-25
"Peppercon AG",PEP,2006-04-12
"Perceptive Pixel Inc.",PPX,2010-05-04
"Perceptive Signal Technologies",PER,1997-05-13
PerComm,PRC,2001-04-24
"Performance Concepts Inc.,",PCO,2002-09-24
"Performance Technologies",IPN,2004-02-24
"Perle Systems Limited",PSL,1999-02-22
"Perpetual Technologies, LLC",PON,2000-01-13
"Peter Antesberger Messtechnik",PAM,1998-04-28
"Peus-Systems GmbH",PSD,1996-11-29
"Philips BU Add On Card",PCA,1996-11-29
"Philips Communication Systems",PHS,1996-11-29
"Philips Consumer Electronics Company",PHL,1996-11-29
"Philips Medical Systems Boeblingen GmbH",PHE,2010-04-20
"Philips Semiconductors",PSC,1996-11-29
"Phoenix Contact",PXC,2008-02-27
"Phoenix Technologies, Ltd.",PNX,1999-11-08
"Phoenixtec Power Company Ltd",PPC,1999-05-16
"Photonics Systems Inc.",PHO,2002-06-03
PhotoTelesis,RSC,1998-03-16
"Phylon Communications",PHY,1996-11-29
PicPro,PPR,2004-10-18
"Pijnenburg Beheer N.V.",PHC,2001-04-24
"Pioneer Computer Inc",PCI,1996-11-29
"Pioneer Electronic Corporation",PIO,1997-07-16
"Pitney Bowes",PBV,1999-09-13
"Pitney Bowes",PBI,1996-11-29
"Pixel Qi",PQI,2009-06-24
"Pixel Vision",PVN,1996-11-29
"PIXELA CORPORATION",PXE,2007-11-21
"Pixie Tech Inc",PIX,1996-11-29
"Plain Tree Systems Inc",PTS,1996-11-29
"Planar Systems, Inc.",PNR,2003-08-11
"PLUS Vision Corp.",PLV,2001-07-05
"PMC Consumer Electronics Ltd",PMC,1996-12-11
"pmns GmbH",SPR,2002-10-08
"Point Multimedia System",PMM,1997-06-09
"Polycom Inc.",PLY,2002-06-19
"PolyComp (PTY) Ltd.",POL,2006-02-14
"Polycow Productions",COW,2001-03-15
"Portalis LC",POR,2008-11-01
"Poso International B.V.",ARO,1997-08-01
"POTRANS Electrical Corp.",PEC,1999-07-16
"PowerCom Technology Company Ltd",PCC,1997-09-02
"Powermatic Data Systems",CPX,1996-11-29
"Practical Electronic Tools",PET,1999-02-22
"Practical Peripherals",PPI,1996-11-29
"Practical Solutions Pte., Ltd.",PSE,1998-10-06
"Praim S.R.L.",PRD,1996-11-29
"Primax Electric Ltd",PEL,1996-11-29
"Prime Systems, Inc.",SYX,2003-10-21
"Prime view international Co., Ltd",PVI,2009-07-06
"Princeton Graphic Systems",PGS,1996-11-29
"Prism, LLC",PIM,2007-07-24
"Priva Hortimation BV",PRI,1997-10-22
PRO/AUTOMATION,PRA,1999-07-16
"Procomp USA Inc",PCP,1996-11-29
"Prodea Systems Inc.",PSY,2013-02-04
"Prodrive B.V.",PDV,2005-01-18
Projecta,PJA,1997-01-29
"Projectavision Inc",DHT,1998-01-14
"Projectiondesign AS",PJD,2002-09-23
"PROLINK Microsystems Corp.",PLM,2002-02-25
"Pro-Log Corporation",PLC,1996-11-29
"Promate Electronic Co., Ltd.",PMT,2003-01-13
Prometheus,PRM,1996-11-29
"Promise Technology Inc",PTI,1997-01-02
"Promotion and Display Technology Ltd.",PAD,2001-04-24
"Promotion and Display Technology Ltd.",TEL,2001-04-24
"propagamma kommunikation",PGP,2000-04-19
Prosum,PSM,1996-11-29
Proteon,PRO,1996-11-29
"Proview Global Co., Ltd",PVG,2002-10-08
"Proxim Inc",PXM,1997-09-19
"Proxima Corporation",PRX,1996-11-29
"PS Technology Corporation",PTC,1997-01-29
"Psion Dacom Plc.",PDM,1999-11-08
"PSI-Perceptive Solutions Inc",PSI,1996-11-29
"PT Hartono Istana Teknologi",PLT,2010-05-05
"Pulse-Eight Ltd",PUL,2012-09-12
"Pure Data Inc",PDR,1996-11-29
"Purup Prepress AS",PPP,1996-11-29
"Qingdao Haier Electronics Co., Ltd.",HRE,2006-04-12
Q-Logic,QLC,1996-11-29
"Qtronix Corporation",QTR,1996-11-29
Quadram,DHQ,1996-11-29
Quadram,QDM,1996-11-29
"Quadrant Components Inc",QCL,1997-04-03
"QuakeCom Company Ltd",QCC,1998-03-23
"Qualcomm Inc",QCP,1999-05-16
"Quanta Computer Inc",QCI,1996-11-29
"Quanta Display Inc.",QDS,2002-04-25
Quantum,QTM,1996-11-29
"Quantum 3D Inc",QTD,1997-05-23
"Quantum Data Incorporated",QDI,2001-03-15
Quartics,QVU,2010-11-04
"Quatographic AG",QUA,2000-01-13
"Questech Ltd",QTH,2000-01-13
"Questra Consulting",QUE,1998-01-30
"Quick Corporation",QCK,1996-11-29
"Quickflex, Inc",QFI,1998-08-04
"Quicknet Technologies Inc",QTI,1996-11-29
"R Squared",RSQ,1999-11-08
R.P.T.Intergroups,RPT,1996-11-29
"Racal Interlan Inc",RII,1996-11-29
"Racal-Airtech Software Forge Ltd",TSF,1996-11-29
"Racore Computer Products Inc",RAC,1996-11-29
"Radicom Research Inc",RRI,1997-12-02
"Radio Consult SRL",RCN,2002-09-24
"RADIODATA GmbH",RDN,2012-07-25
"RadioLAN Inc",RLN,1996-11-29
"Radiospire Networks, Inc.",RSN,2007-06-14
"Radisys Corporation",RAD,1996-11-29
"Radius Inc",RDS,1997-03-07
"RAFI GmbH & Co. KG",RFI,2015-08-24
"Rainbow Displays, Inc.",RDI,1998-09-23
"Rainbow Technologies",RNB,1996-11-29
"Raintree Systems",RTS,2001-10-02
"Rainy Orchard",BOB,2000-02-21
"Rampage Systems Inc",RSI,1996-11-29
"Rancho Tech Inc",RAN,1996-11-29
"Rancho Tech Inc",RTI,1996-11-29
"Rapid Tech Corporation",RSX,1996-11-29
"Raritan Computer, Inc",RMC,1998-11-27
"Raritan, Inc.",RAR,2007-06-14
"RAScom Inc",RAS,1996-11-29
"RATOC Systems, Inc.",REX,2012-01-06
"Raylar Design, Inc.",RAY,2000-01-13
"RC International",RCI,1996-11-29
"Reach Technology Inc",RCH,1998-02-09
"Reakin Technolohy Corporation",RKC,2001-03-15
"Real D",REA,2007-11-15
"Realtek Semiconductor Company Ltd",RTL,1996-11-29
"Realtek Semiconductor Corp.",ALG,2002-10-25
"Realvision Inc",RVI,1996-11-29
ReCom,REC,1999-05-16
"Red Wing Corporation",RWC,1998-01-08
"Redfox Technologies Inc.",RFX,2014-01-14
"Reflectivity, Inc.",REF,2000-04-19
"Rehan Electronics Ltd.",REH,2012-02-15
"Relia Technologies",RTC,1996-11-29
"Reliance Electric Ind Corporation",REL,1996-11-29
"Renesas Technology Corp.",REN,2007-06-14
Rent-A-Tech,RAT,1999-02-22
"Research Electronics Development Inc",RED,1997-12-02
"Research Machines",RMP,1996-11-29
"ResMed Pty Ltd",RES,2000-02-21
"Resonance Technology, Inc.",RET,2011-02-09
"Restek Electric Company Ltd",WTS,1996-11-29
"Reveal Computer Prod",RVL,1996-11-29
"Revolution Display, Inc.",REV,2014-03-19
"RGB Spectrum",RGB,2012-11-14
"RGB Systems, Inc. dba Extron Electronics",EXN,2008-07-06
"RICOH COMPANY, LTD.",RIC,2010-05-13
"RightHand Technologies",RHD,2012-05-01
"Rios Systems Company Ltd",RIO,1996-11-29
"Ritech Inc",RIT,1998-04-14
"Rivulet Communications",RIV,2007-07-19
"Robert Bosch GmbH",BSG,2014-05-15
"Robert Gray Company",GRY,1998-03-31
"Robertson Geologging Ltd",RGL,2000-08-10
"Robust Electronics GmbH",ROB,2008-01-18
"Rockwell Automation/Intecolor",RAI,1998-03-13
"Rockwell Collins",RCO,2010-09-10
"Rockwell Collins / Airshow Systems",ASY,2004-12-02
"Rockwell Collins, Inc.",COL,2007-06-14
"Rockwell International",ROK,1996-11-29
"Rockwell Semiconductor Systems",RSS,1996-11-29
"Rogen Tech Distribution Inc",MAX,1996-11-29
"Rohde & Schwarz",ROS,2012-01-20
"Rohm Co., Ltd.",ROH,2004-06-16
"Rohm Company Ltd",RHM,1997-05-13
"Roland Corporation",RJA,1996-11-29
"RoomPro Technologies",RPI,2010-07-09
"Roper International Ltd",ROP,1999-05-16
"Roper Mobile",RMT,2010-07-02
"Ross Video Ltd",RSV,2012-06-11
"Royal Information",TRL,1996-11-29
"Rozsnyó, s.r.o.",RZS,2014-03-24
"RSI Systems Inc",RVC,1998-04-28
"RUNCO International",RUN,2004-04-01
"S&K Electronics",SNK,2000-02-21
"S3 Inc",TLV,1997-01-07
"S3 Inc",SIM,1996-11-29
"S3 Inc",SSS,1996-11-29
"Saab Aerotech",SAE,2007-06-14
"Sage Inc",SAI,1997-07-16
SAGEM,SGM,2003-09-05
SAIT-Devlonics,SDK,1996-11-29
"Saitek Ltd",SAK,1999-05-16
"Salt Internatioinal Corp.",SLT,2006-09-05
"Samsung Electric Company",SAM,1996-11-29
"Samsung Electro-Mechanics Company Ltd",SKT,1996-11-29
"Samsung Electronics America",STN,2000-08-10
"Samsung Electronics America Inc",KYK,1998-02-24
"Samsung Electronic Co.",SSE,2000-08-10
"Samsung Electronics Company Ltd",SEM,1996-11-29
"Samtron Displays Inc",SDI,1996-11-29
"SANKEN ELECTRIC CO., LTD",JSK,1999-09-13
"Sankyo Seiki Mfg.co., Ltd",SSJ,2003-01-28
"Sanritz Automation Co.,Ltd.",SAA,2002-02-25
"SANTAK CORP.",STK,1998-11-27
"Santec Corporation",SOC,2015-01-12
"Sanyo Electric Co.,Ltd.",SAN,1999-11-08
"Sanyo Electric Company Ltd",SCD,1996-11-29
"Sanyo Electric Company Ltd",SIB,1996-11-29
"Sanyo Electric Company Ltd",TSC,1996-11-29
"Sanyo Icon",ICN,1996-11-29
"Sapience Corporation",SPN,1996-11-29
"SAT (Societe Anonyme)",SDA,1996-11-29
"SBS Technologies (Canada), Inc. (was Avvida Systems, Inc.)",AVV,2002-12-17
"SBS-or Industrial Computers GmbH",SBS,1998-12-28
"Scan Group Ltd",SGI,1996-11-29
"Scanport, Inc.",SCN,2002-08-05
"SCD Tech",KFC,2002-10-23
"Sceptre Tech Inc",SPT,1996-11-29
Schlumberger,SMB,1999-07-16
"Schlumberger Cards",SCH,1998-04-28
"Schlumberger Technology Corporate",SLR,2000-08-10
"Schneider & Koch",SKD,1996-11-29
"Schneider Electric S.A.",MGE,1996-11-29
"Schnick-Schnack-Systems GmbH",SLS,2009-05-06
"SCI Systems Inc.",REM,2000-08-10
"SCM Microsystems Inc",SCM,1996-11-29
"Scriptel Corporation",SCP,2007-06-14
"SDR Systems",SDR,2001-03-15
"SDS Technologies",STY,1999-11-08
"SDX Business Systems Ltd",SDX,1996-11-29
"Seanix Technology Inc",NIX,2007-04-09
"Seanix Technology Inc.",SEA,1998-02-24
Sedlbauer,SAG,1996-11-29
"SeeColor Corporation",SEE,1996-11-29
"SeeCubic B.V.",SCB,2012-11-02
"SeeReal Technologies GmbH",SRT,2005-06-27
"Seiko Epson Corporation",SEC,1996-11-29
"Seiko Instruments Information Devices Inc",SID,1996-12-16
"Seiko Instruments USA Inc",SIU,1996-11-29
"Seitz & Associates Inc",SEI,1998-01-30
"Sejin Electron Inc",SJE,1997-08-20
"SELEX GALILEO",SXG,2012-10-01
